 Year FSU-HYCOM MIROC-COCO4.9 CAS-LICOM3 AWI-FESOM CESM-POP NorESM-BLOM MRI.COM EC-Earth3-NEMO Kiel-NEMO GFDL-MOM CMCC-NEMO Observations ACCESS-OM2_new ACCESS_OM2_OMIP
43 2001.0 1.1981292890024774e+22 1.918979497006962e+22 6.328517561030292e+21 1.5506978326383816e+22 2.301888446733255e+22 6.370849901867748e+22 2.560631166540957e+22 2.0148298412370873e+22 1.1224426643129996e+22 1.085054660973256e+23 3.358557533557841e+22 1.0200776e+23 7.646284441875702e+22 -1.752855686237499e+22
44 2002.0 1.986883487005777e+22 2.293692133624071e+22 6.869911334757056e+21 1.6094937921049588e+22 2.9586250040887227e+22 7.100474350737954e+22 2.907845642102565e+22 2.257474939327083e+22 1.4318187417864375e+22 1.1614916871971416e+23 3.746067829825282e+22 1.13971335e+23 8.264828627980762e+22 -1.4214047915815308e+22
45 2003.0 2.1817375866014254e+22 2.033490897654189e+22 3.627416730362001e+21 9.631475657979952e+21 2.9699561031650626e+22 7.336636262854612e+22 2.7380901149986777e+22 1.9025608215793496e+22 1.1249582750475158e+22 1.2219050571891127e+23 3.2472120733507644e+22 1.2089701e+23 8.278319608468149e+22 -1.695007102543236e+22
46 2004.0 2.74093630712554e+22 2.4123540516876677e+22 7.411978696547826e+21 1.1345500124084062e+22 3.1096073657043594e+22 6.678798149888057e+22 2.891844362087257e+22 2.1461282568730306e+22 1.3061294812086724e+22 1.1323539640699168e+23 2.9933521366052017e+22 1.3722059e+23 8.645988075170759e+22 -1.6587041130803645e+22
47 2005.0 2.999836097325893e+22 2.4883447264611425e+22 7.56599084472669e+21 1.0476483348116663e+22 3.2743923170440854e+22 8.183876041716176e+22 2.8924906333640468e+22 1.940517473971884e+22 1.2605210274136622e+22 1.3059991543680155e+23 4.250049955195745e+22 1.3912133e+23 9.116958308686142e+22 -1.7330815880460065e+22
48 2006.0 3.5826376662129136e+22 2.836424876321833e+22 1.1039264004668666e+22 1.4890040947313813e+22 3.7451626357064687e+22 7.255455148158648e+22 3.1794073142347168e+22 2.2156749584917928e+22 1.476741047314867e+22 1.2300124036339441e+23 3.4182304681907695e+22 1.4339548e+23 9.927348633157781e+22 -1.3868732981310707e+22
49 2007.0 3.6772394359844413e+22 2.968447536218986e+22 1.107683108088009e+22 1.716903775193473e+22 4.096836162942965e+22 8.714070459044535e+22 3.2016132176476547e+22 2.3225059033391017e+22 1.3843239804328187e+22 1.4139205040716862e+23 4.375745156335836e+22 1.4580413e+23 1.0280259704601423e+23 -1.3727064015429068e+22
50 2008.0 4.413426850910875e+22 3.744953317191581e+22 1.9987282056547957e+22 2.6693545369773132e+22 4.646005143918399e+22 6.956935521112146e+22 3.710351996004897e+22 3.25932503935288e+22 2.038654172084625e+22 1.228745072191251e+23 3.0754936620090986e+22 1.6018236e+23 1.1090650029073063e+23 -7.387289040918459e+21
51 2009.0 5.694838520529139e+22 4.634675989916568e+22 2.760876679006537e+22 3.507642455097992e+22 5.616912811279232e+22 8.765025937879345e+22 4.559433202521865e+22 4.1833467466655224e+22 2.7916744445309925e+22 1.4149419184046876e+23 4.609930271059216e+22 1.6503464e+23 1.2085507794281797e+23 -1.0475140662704116e+21
52 2010.0 6.130227630445449e+22 4.452873416259737e+22 2.5852388005110687e+22 3.245821916949998e+22 5.921662433278229e+22 1.0035796007468003e+23 4.492518273628694e+22 3.844573529982285e+22 2.5749724394523262e+22 1.5583543202764722e+23 6.236485308327636e+22 1.7145216e+23 1.1988318310326926e+23 -3.783537175887463e+21
53 2011.0 7.2332309971549146e+22 4.7773186752759875e+22 3.0086589358091035e+22 3.846517465749704e+22 6.145361673503365e+22 8.150137775141705e+22 4.7887736186866795e+22 4.215308207234316e+22 2.9300042085081954e+22 1.3415873091268802e+23 4.586437429503181e+22 1.8597546e+23 1.235598677704328e+23 -1.000933478535906e+20
54 2012.0 8.346270870479566e+22 5.337305797683417e+22 3.927258857335994e+22 4.483310927741819e+22 6.660288885792191e+22 9.480921802571208e+22 5.304660510372484e+22 4.900675163093341e+22 3.469849294752542e+22 1.4959364622501905e+23 5.239811424732746e+22 1.9479434e+23 1.3262300170698209e+23 9.191160678587986e+21
55 2013.0 9.603210344799642e+22 6.052245570309791e+22 4.550134412931228e+22 5.01980683282572e+22 7.470248711109694e+22 1.1315645767871298e+23 5.9676601860459076e+22 5.620053303338268e+22 4.207535711187424e+22 1.6184321467156104e+23 7.0303118999562595e+22 2.0920996e+23 1.4139098773835203e+23 1.7301823084174711e+22
56 2014.0 1.0329949881837974e+23 6.404245653286145e+22 4.897000560323583e+22 5.122911216432061e+22 8.026911681865288e+22 1.2679510891088606e+23 6.5057984627704095e+22 5.991364441342387e+22 4.692617025962945e+22 1.817387530858578e+23 8.032214066028474e+22 2.1917195e+23 1.4602690309721102e+23 2.0468758078144714e+22
57 2015.0 1.0788611851028365e+23 6.705056021457955e+22 5.104017329207127e+22 5.112996060898746e+22 8.537227208135686e+22 1.2919003155725152e+23 7.0739126986146895e+22 6.1800528130167825e+22 4.969019548404627e+22 1.914897080331868e+23 8.935426151306343e+22 2.299005e+23 1.5036767055089066e+23 2.4742497716537292e+22
58 2016.0 1.1049819835117487e+23 6.914209130013306e+22 5.128872500362575e+22 4.951541761533048e+22 9.406677783091117e+22 1.7168230770108192e+23 7.631304764466125e+22 6.0528406924289016e+22 5.108339703948555e+22 2.4348687635875652e+23 1.464482211283899e+23 2.3795776e+23 1.5647932543564642e+23 3.1229846643775017e+22
59 2017.0 1.255717235143248e+23 8.23420210825757e+22 6.418597854222409e+22 5.966962667027851e+22 1.0422664681282078e+23 1.659299612022183e+23 8.870880484593647e+22 7.537182250980471e+22 6.234214790984562e+22 2.298064346835846e+23 1.3815769637445071e+23 2.406349e+23 1.7329009188315372e+23 4.642405877366621e+22
